item;type;categorie;btw;verkoopprijs;kostprijs_excl_optioneel;kostprijs_incl_optioneel;brutowinst;marge_percentage;adviesprijs;status;mist_inkoopprijs
Black Angus Deluxe;Gerecht of menu-item;Burgers;9.00;13.50;4.16;4.73;8.77;65.0;14.78;Let op marge;
Broodje gezond;Gerecht of menu-item;Gerechten;9.00;6.50;0.84;0.84;5.66;87.1;3.50;Ruime marge;
Cheese Burger;Gerecht of menu-item;Burgers;9.00;10.50;2.86;2.89;7.62;72.5;9.02;Prima;
Classic Burger;Gerecht of menu-item;Burgers;9.00;9.50;2.64;2.76;6.75;71.0;8.61;Prima;
Double Smash Burger;Gerecht of menu-item;Burgers;9.00;12.95;3.05;3.17;9.78;75.5;9.91;Prima;
Halloumi Burger;Gerecht of menu-item;Burgers;9.00;11.95;3.26;3.26;8.70;72.8;10.17;Prima;
Korean Chicken Burger;Gerecht of menu-item;Burgers;9.00;12.50;3.14;3.58;8.93;71.4;11.17;Prima;
Spicy Jalapeño Burger;Gerecht of menu-item;Burgers;9.00;11.50;2.74;2.96;8.55;74.3;9.23;Prima;
Tosti kaas;Gerecht of menu-item;Gerechten;9.00;4.95;1.10;1.10;3.85;77.8;3.50;Prima;
Vega Truffel Burger;Gerecht of menu-item;Burgers;9.00;11.00;2.79;2.79;8.21;74.6;8.72;Prima;
Cola 330 ml;Product;Dranken;9.00;2.75;0.70;0.70;2.05;74.5;2.50;Prima;
Friet normaal;Gerecht of menu-item;Friet;9.00;3.50;0.50;0.50;3.00;85.7;3.50;Ruime marge;
Friet truffel;Gerecht of menu-item;Friet;9.00;5.50;0.92;0.93;4.57;83.2;3.50;Ruime marge;
Loaded fries bacon;Gerecht of menu-item;Friet;9.00;7.50;1.42;1.53;5.98;79.7;4.77;Prima;
Sweet Potato Fries;Gerecht of menu-item;Friet;9.00;5.25;1.16;1.16;4.09;78.0;3.61;Prima;
Bitterballen 8 stuks;Gerecht of menu-item;Snacks;9.00;7.95;0.00;0.00;7.95;100.0;;Ruime marge;
Chicken Wings 6 stuks;Gerecht of menu-item;Snacks;9.00;7.50;4.20;4.46;3.04;40.5;13.95;Marge te laag;
Frikandel speciaal;Gerecht of menu-item;Snacks;9.00;3.75;0.69;0.74;3.02;80.4;3.50;Prima;
Kroket los;Product;Snacks;9.00;2.75;0.55;0.55;2.20;80.0;2.50;Prima;
Onion Rings 8 stuks;Gerecht of menu-item;Snacks;9.00;5.95;0.40;0.68;5.27;88.6;3.50;Ruime marge;
Snackmix Deluxe;Gerecht of menu-item;Snacks;9.00;13.95;3.52;3.87;10.08;72.3;12.09;Prima;
Bakje joppiesaus;Product;Sauzen;9.00;1.25;0.40;0.40;0.85;68.0;2.50;Prima;
Bakje knoflooksaus;Product;Sauzen;9.00;1.00;0.30;0.30;0.70;70.0;2.50;Prima;
Bakje samurai saus;Product;Sauzen;9.00;1.25;0.40;0.40;0.85;68.0;2.50;Prima;
Bakje satésaus;Product;Sauzen;9.00;1.50;0.60;0.60;0.90;60.0;2.50;Let op marge;
Bakje sriracha mayo;Product;Sauzen;9.00;1.25;0.45;0.45;0.80;64.0;2.50;Let op marge;
Bakje truffelmayonaise;Product;Sauzen;9.00;1.25;0.70;0.70;0.55;44.0;2.50;Marge te laag;
Bakje vegan mayo;Product;Sauzen;9.00;1.25;0.45;0.45;0.80;64.0;2.50;Let op marge;
Loaded Fries Korean Chicken;Gerecht of menu-item;Loaded Fries;9.00;8.95;2.60;3.20;5.76;64.3;9.98;Let op marge;
Loaded Fries Saté;Gerecht of menu-item;Loaded Fries;9.00;7.95;1.20;1.34;6.61;83.2;4.18;Ruime marge;
Loaded Fries Truffle Parmesan;Gerecht of menu-item;Loaded Fries;9.00;8.50;1.45;1.60;6.90;81.2;4.95;Prima;
Falafel Wrap;Gerecht of menu-item;Broodjes;9.00;8.95;1.68;1.68;7.28;81.3;5.23;Prima;
Pulled Chicken Wrap;Gerecht of menu-item;Broodjes;9.00;9.95;2.04;2.30;7.65;76.9;7.20;Prima;
Amaretto Sour;Drank;Cocktails;21.00;8.50;1.05;1.11;7.40;87.0;7.50;Ruime marge;
Aperol Spritz;Drank;Cocktails;21.00;8.75;2.12;2.20;6.56;74.9;7.84;Prima;
Cuba Libre;Drank;Cocktails;21.00;8.50;1.44;1.52;6.98;82.1;7.50;Ruime marge;
Dark and Stormy;Drank;Cocktails;21.00;8.95;1.50;1.58;7.37;82.3;7.50;Ruime marge;
Espresso Martini;Drank;Cocktails;21.00;9.75;1.43;1.46;8.30;85.1;7.50;Ruime marge;
Gin Tonic;Drank;Cocktails;9.00;8.75;1.70;1.70;7.05;80.6;7.50;Prima;
Margarita;Drank;Cocktails;21.00;9.50;1.78;1.86;7.65;80.5;7.50;Prima;
Mojito;Drank;Cocktails;9.00;9.00;1.11;1.11;7.89;87.7;7.50;Ruime marge;
Negroni;Drank;Cocktails;21.00;9.95;1.74;1.82;8.13;81.7;7.50;Prima;
Paloma;Drank;Cocktails;21.00;8.95;1.74;1.82;7.13;79.7;7.50;Prima;
Piña Colada;Drank;Cocktails;21.00;9.50;1.54;1.54;7.96;83.8;7.50;Ruime marge;
Pornstar Martini;Drank;Cocktails;21.00;10.50;1.30;1.96;8.54;81.3;7.50;Prima;
Whiskey Sour;Drank;Cocktails;21.00;9.50;1.35;1.43;8.08;85.0;7.50;Ruime marge;
Passion Fruit Cooler;Drank;Mocktails;9.00;6.75;0.91;0.91;5.85;86.6;3.02;Ruime marge;
Virgin Mojito;Drank;Mocktails;9.00;6.50;0.44;0.52;5.99;92.1;2.50;Ruime marge;
Cola;Drank;Frisdrank;9.00;2.75;0.75;0.75;2.00;72.7;2.50;Prima;
Tonic;Drank;Frisdrank;9.00;2.75;1.00;1.00;1.75;63.6;3.33;Let op marge;
Koffie;Drank;Warme dranken;9.00;2.50;0.00;0.00;2.50;100.0;;Mist inkoopprijs;Koffie
Chocolate Milkshake;Drank;Milkshakes;9.00;5.50;1.77;1.77;3.73;67.8;5.90;Prima;
Strawberry Milkshake;Drank;Milkshakes;9.00;5.50;1.70;1.70;3.80;69.1;5.67;Prima;
Vanilla Milkshake;Drank;Milkshakes;9.00;5.25;1.84;1.84;3.41;65.0;6.13;Let op marge;
